2,W-AW,"PVC Extrusion Molding Facility (water tank, tower, office, etc)",?????????????????????????????,2012-08-01 00:00:00,,????HTI????????H-BH?????2012/9/4?,0
4,H-BS,Solar Panel Installation,?????????,2013-09-12 00:00:00,,,1
4,H-BD,6.5Ha Elevated Walkway & Overpass,6.5Ha ??????????,2012-06-19 00:00:00,,????????2012/08/01,1
4,H-CD,Additonal 15ton Boiler #5,15ton??????? ??????,2015-06-10 00:00:00,,10/17/2015,1
6,M-X,Diesel Station Construction,???????????????,2014-09-23 00:00:00,,,1
6,M-AC,LOT565 Dream Apartment Construction,LOT565 ???????,2015-05-28 00:00:00,,,1
6,M-AD,LOT565 Fence Construction,LOT565 ????????,2015-05-30 00:00:00,,,1
6,M-AF,LOT9&10 Dream Apartment Construction ,LOT9&10 ???????,2015-07-22 00:00:00,,,1
3,S-X,6.5Ha Building Construction,6.5Ha ??????,2015-05-18 00:00:00,,1/11/2016,1
4,H-CN,Driver's Resting Area Expansion,????? ?????????,2016-02-26 00:00:00,2016-09-30 00:00:00,,0
5,P-D,Foundation Work for MEGA Solar cell rack machine,????????????????????,2016-07-25 00:00:00,2016-09-30 00:00:00,????,0
1,R-I,500KN Wall Panel Testing Machine and Vibration Table Machine,500kN??????????????????????R&D????,2016-05-10 00:00:00,2016-09-15 00:00:00,,0
4,H-CO,5.9Ha Cemedine Office Transfer,5.9Ha ???????? ??,2016-04-14 00:00:00,2016-08-31 00:00:00,,0
4,H-CH,Siding factory Office,????????????????,2015-10-10 00:00:00,2016-08-01 00:00:00,,0
2,W-BK,Wind Pressure testing Building Construction,3??????????,2016-02-26 00:00:00,2016-07-31 00:00:00,,0
6,M-N,Residential - Elevated Water Tank,?????? - ??????,2013-04-06 00:00:00,2016-07-30 00:00:00,????,0
6,M-AH,Residential - Elevated Water Tank 2,?????? - ?????? 2,2015-11-21 00:00:00,2016-07-30 00:00:00,????,0
4,H-CE,R&D Office 3F Construction,R&D???? 3F????,2015-06-15 00:00:00,2016-05-30 00:00:00,,0
4,H-CG,Dream Child Development?Center,????????,2015-08-27 00:00:00,2016-05-30 00:00:00,,0
2,W-BI,WM Canteen Extension,?????????????????????,2015-10-10 00:00:00,2016-01-09 00:00:00,,0
1,R-H,Fired-furnace Facility Construction,??????????,2015-05-18 00:00:00,2015-12-20 00:00:00,,0
4,H-CF,Fired-furnace Building Construction,??????????,2015-07-02 00:00:00,2015-12-20 00:00:00,,0
4,H-BZ,4 Additional Kiln Dry Rooms,??????????,2014-08-12 00:00:00,2015-09-30 00:00:00,,0
