,2,W-BG,CEZ I Annex 1.2Ha Building Construction,CEZ I Annex 1.2Ha 建屋建築工事,2015-05-18 00:00:00,,,1
,2,W-AM,3.1Ha Ulvac Office,3.1Ha アルバック事務所,2010-09-08 00:00:00,2010-11-30 00:00:00,,0
,4,H-AU,6.5Ha Hoist Crane,6.5Ha クレーン,2010-10-27 00:00:00,2011-01-01 00:00:00,,0
,6,M-B,CEZ-II Land Dev. 2nd Stage(After Oct. 2009 ),第二期土地開発（09年10月以降）,2009-09-23 00:00:00,2011-06-30 00:00:00,,0
,6,M-C,Sewage Treatment Plant,汚水処理施設,2009-12-19 00:00:00,2011-06-30 00:00:00,,0
,6,M-D,Deepwell,井戸,2009-12-19 00:00:00,2011-06-30 00:00:00,,0
,6,M-F,Fence - extension,フェンス-延長部分,2009-12-19 00:00:00,2011-06-30 00:00:00,,0
,6,M-G,Diversion Canal - along Bacao rd,灌漑用水路　道路沿い迂回工事,2010-10-13 00:00:00,2011-06-30 00:00:00,,0
,6,M-H,Batching Plant in CEZ II,バッチングプラント移設,2011-01-20 00:00:00,2011-06-30 00:00:00,,0
,2,W-AI,Clean Room,クリーンルーム,2009-12-07 00:00:00,2011-09-01 00:00:00,,0
,2,W-AD,3.1Ha Warehouse Building,3.1Ha 倉庫建屋,1970-01-01 00:00:00,2011-10-01 00:00:00,,0
,4,H-AT,6.5Ha I-Cube Office,6.5Ha i-Cube事務所,2010-09-28 00:00:00,2011-11-30 00:00:00,,0
,4,H-AP,6.5Ha Warehouse Building,6.5Ha 倉庫建屋,2009-09-23 00:00:00,2011-12-01 00:00:00,,0
,4,H-AR,1.7Ha Warehouse Building,1.7Ha 倉庫建屋,2010-02-17 00:00:00,2011-12-01 00:00:00,,0
,4,H-AV,0.3Ha Warehouse Building,0.3Ha 倉庫建屋,2010-10-27 00:00:00,2011-12-19 00:00:00,,0
,4,H-AX,5.0Ha Extension Building,5.0Ha i-Cube増築,2011-04-25 00:00:00,2012-03-02 00:00:00,,0
,2,W-AK,Sawdust warehouse in CEZ II,オガコ倉庫移転,2010-07-29 00:00:00,2012-04-01 00:00:00,,0
,5,P-A,Clean Room Extension,クリーンルーム拡張,2012-02-24 00:00:00,2012-05-17 00:00:00,,0
,4,H-BA,5.0Ha Hoist Crane,5.0Ha クレーン,2012-02-03 00:00:00,2012-08-02 00:00:00,,0
,4,H-AW,ESP Wet Scrubber,電気集塵機　ウェットスクラバー設置,2011-01-10 00:00:00,2012-09-19 00:00:00,,0
,4,H-BH,6.1Ha Wukong Office,6.1Ha Wukong事務所,2012-09-04 00:00:00,2012-10-15 00:00:00,,0
,4,H-AY,0.4Ha Extension,0.4Ha 拡張工事,2011-12-20 00:00:00,2012-10-31 00:00:00,,0
,2,W-AQ,Boiler 15ton x 2 units,新設ボイラー15ton x 2 サイディング工場脇,2011-04-25 00:00:00,2012-10-31 00:00:00,,0
,4,H-AZ,6.1Ha Warehouse Building,6.1Ha i-Cube倉庫建屋,2012-01-28 00:00:00,2012-11-30 00:00:00,,0
,6,M-I,Stockyard Roofing,北側隣地付近　倉庫建屋,2011-04-25 00:00:00,2012-11-30 00:00:00,,0
,6,M-M,Walkway & Canopy from Main Gate to 5.0Ha,歩道＆キャノピー工事 CEZIIゲートから5Haまで,2012-09-01 00:00:00,2012-11-30 00:00:00,,0
,2,W-AN,Powerplant Cooling Tower,パワープラントクーリングタワー,2010-11-08 00:00:00,2012-12-15 00:00:00,,0
,4,H-BK,5.0Ha Cemedine Production,5.0Ha セメダイン工場,2012-09-11 00:00:00,2012-12-18 00:00:00,,0
,2,W-AU,Sawmill Factory - Modification,製材工場 - 改修工事,2012-01-27 00:00:00,2012-12-20 00:00:00,,0
,4,H-BG,5.0Ha Cemedine Office,5.0Ha セメダイン事務所,2012-09-04 00:00:00,2013-01-04 00:00:00,,0
,6,M-L,CEZ II - Fire Station,CEZ II - 消防署,2012-04-19 00:00:00,2013-01-31 00:00:00,,0
,4,H-BM,Kiln Dry Room,乾燥庫,2012-10-22 00:00:00,2013-02-01 00:00:00,,0
,5,P-B,Restoration Work,復旧工事,2012-10-22 00:00:00,2013-02-28 00:00:00,,0
,4,H-BD,6.5Ha Elevated Walkway & Overpass,6.5Ha 外部通路・歩道橋工事,2012-09-01 00:00:00,2013-03-03 00:00:00,,0
,4,H-BB,6.5Ha I-Cube Office Extension,6.5Ha i-Cube事務所 拡張,2012-03-30 00:00:00,2013-03-06 00:00:00,,0
,4,H-BI,6.1Ha H.R.D. Office,6.1Ha H.R.D.事務所,2012-09-04 00:00:00,2013-04-17 00:00:00,,0
,4,H-BE,Foundation Work for New Siding Machine,サイディング工場機械増設に伴う工事,2012-06-19 00:00:00,2013-04-17 00:00:00,,0
,4,H-BC,Foundation Work for New Ceramic Machine,セラミック工場機械増設に伴う工事,2012-06-19 00:00:00,2013-04-22 00:00:00,,0
,4,H-BL,Restoration Work,復旧工事,2012-10-22 00:00:00,2013-06-04 00:00:00,,0
,3,S-U,Restoration Work,復旧工事,2012-10-22 00:00:00,2013-06-04 00:00:00,,0
,2,W-AX,Restoration Work,復旧工事,2012-10-22 00:00:00,2013-06-04 00:00:00,,0
,2,W-AV,Bldg C & Unloading - Modification for new glass machine ,Bldg C & Unloadingエリア改修工事for新ガラス生産ライン,2012-02-24 00:00:00,2013-06-20 00:00:00,,0
,2,W-BC,Fire Hydrant,消火栓工事,2013-04-24 00:00:00,2013-09-09 00:00:00,,0
,6,M-P,Fire Hydrant,消火栓工事,2013-05-10 00:00:00,2013-09-30 00:00:00,,0
,6,M-J,CEZ Annex - Fence & Land Dev.,CEZ Annex - フェンス＆土地改良工事,2011-08-22 00:00:00,2013-09-30 00:00:00,,0
,1,R-E,Demolition Work / Former HRD Office,HRD旧事務所解体工事,2013-03-18 00:00:00,2013-09-30 00:00:00,,0
,1,R-F,SANKYO Office and Production,三協立山関連工事,2013-07-03 00:00:00,2013-09-30 00:00:00,,0
,6,M-S,Gate Renovation Work (Map F),ゲート柵鉄板貼付け、ゲート改造工事（地図F）,2013-09-10 00:00:00,2013-11-30 00:00:00,,0
,2,W-BB,CCVT Monitor Room Extension,CCTVモニタールーム拡張工事,2013-02-14 00:00:00,2013-11-30 00:00:00,,0
,2,W-BA,Fire Prevention Water Tank ,防火水槽設備工事,2013-02-14 00:00:00,2013-12-20 00:00:00,,0
,6,M-T,Road Elevation Changing Work(Map G),道路の高さ変更工事（地図G）,2013-09-10 00:00:00,2013-12-31 00:00:00,,0
,3,S-V,Fire Hydrant,消火栓工事,2013-04-24 00:00:00,2013-12-31 00:00:00,,0
,2,W-AP,Wood Processing Plant,0.65Ha 倉庫建屋 丸太製材事業移転,2011-04-25 00:00:00,2014-01-20 00:00:00,,0
,4,H-BF,Stockyard Extension,資材置き場拡張工事,2012-09-01 00:00:00,2014-01-30 00:00:00,,0
,4,H-BN,Restoration Work - 1.6Ha Bldg,復旧工事 - 1.6Ha建屋,2013-01-11 00:00:00,2014-01-31 00:00:00,,0
,6,M-R,Retaining Wall Demolish & Restoration Work (Map B),よう壁解体、復旧工事（地図B）,2013-09-10 00:00:00,2014-02-05 00:00:00,,0
,4,H-BP,Fire Hydrant,消火栓工事,2013-04-24 00:00:00,2014-02-09 00:00:00,,0
